,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,gdp, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,log_rate
446,2001,1,47.8,467,65,3.15,0.0,1,5790,19.9,94,7,4.85,66,7.0,0,7.9,7.9,0.0,0.0,3.8877303128591016
447,2000,1,47.9,461,67,3.45,0.0,0,5729,19.4,95,66,6.0,65,7.1,0,8.1,8.1,0.0,0.0,3.8897773964808264
448,2015,1,73.3,114,0,0.0,0.0,96,0,31.3,0,93,0.0,93,0.2,2954,6.6,6.6,0.646,13.5,4.308110951723713
449,2014,1,73.0,117,0,0.01,414.0242418,97,0,3.5,0,95,4.76,95,0.2,3529,6.8,6.7,0.643,13.5,4.30406509320417
450,2013,1,72.8,12,0,0.01,325.6298627,94,0,29.7,0,93,4.29,93,0.2,3558,6.9,6.9,0.643,13.6,4.301358731606427
451,2012,1,72.7,121,0,0.01,33.55888998,94,0,29.0,0,94,4.61,94,0.3,348,7.1,7.1,0.636,13.2,4.300002799195291
452,2011,1,72.6,122,0,5.07,4.409153436,9,0,28.2,0,9,4.6,9,0.3,367,7.3,7.2,0.632,13.1,4.298645025734831
453,2010,1,72.5,123,0,4.75,286.8907303,98,0,27.5,0,99,4.83,99,0.4,3312,7.4,7.4,0.627,12.7,4.297285406218791
454,2009,1,72.4,124,0,4.45,339.9777364,98,0,26.8,0,99,4.24,99,0.4,3444,7.6,7.6,0.621,12.4,4.29592393562047
455,2008,1,72.4,124,0,4.16,360.6208825,98,0,26.2,0,99,3.96,99,0.4,3638,7.8,7.8,0.615,12.2,4.29592393562047
456,2007,1,72.3,126,0,5.28,345.463714,96,0,25.5,0,98,4.3,98,0.6,3112,8.1,8.0,0.602,11.9,4.294560608892605
457,2006,1,72.1,129,0,4.25,26.45133197,95,0,24.9,0,97,5.11,96,0.6,234,8.3,8.3,0.596,11.9,4.291828366755733
458,2005,1,71.8,134,0,4.26,3.349816965,93,0,24.3,0,95,4.86,95,0.8,248,8.5,8.5,0.582,11.2,4.28771595520264
459,2004,1,71.4,14,0,4.19,240.139715,91,0,23.7,0,94,5.6,93,0.8,1976,8.7,8.7,0.574,11.1,4.282206299391671
460,2003,1,71.1,144,0,4.16,209.0865,66,0,23.2,0,93,5.0,92,0.9,1768,8.9,8.9,0.572,11.3,4.278054044290903
461,2002,1,77.0,148,0,3.82,155.2072669,4,0,22.6,0,92,5.17,91,0.8,1373,9.2,9.1,0.569,11.3,4.356708826689592
462,2001,1,73.0,152,0,3.81,150.7434862,0,0,22.1,0,91,5.19,9,0.8,1268,9.4,9.3,0.562,11.0,4.30406509320417
463,2000,1,69.9,155,0,3.49,122.5744699,0,2,21.5,0,9,4.81,9,0.8,1239,9.6,9.5,0.0,11.3,4.2612704335380815
464,2015,1,68.7,174,10,0.0,0.0,89,0,19.6,12,87,0.0,89,0.2,1163,1.9,1.9,0.558,10.9,4.244200317766478
465,2014,1,68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,198,1.9,11.0,0.553,10.9,4.238444906195857
466,2013,1,67.8,183,11,0.01,8.758214538,83,0,18.2,13,66,5.93,83,0.2,128,11.0,11.1,0.546,10.8,4.231203744939298
467,2012,1,67.4,186,12,0.01,6.914723983,86,15,17.6,14,84,6.24,86,0.3,95,11.0,11.2,0.54,10.7,4.225372824628505
468,2011,1,67.0,19,13,2.12,60.18591771,88,722,17.0,15,87,5.64,88,0.3,882,11.0,11.2,0.533,10.7,4.219507705176107
469,2010,1,66.6,192,14,2.2,56.88416481,89,1156,16.4,16,88,5.95,89,0.5,785,11.0,11.3,0.519,10.6,4.213607983048918
470,2009,1,66.1,195,15,2.13,48.35423978,92,4779,15.9,17,95,6.36,94,0.6,738,11.1,11.4,0.52,10.5,4.206184043977636
471,2008,1,65.6,199,16,2.24,53.10009046,91,4211,15.3,18,91,5.55,91,0.7,745,11.2,11.4,0.511,10.5,4.198704577546343
472,2007,1,65.0,24,16,2.08,57.73516711,82,394,14.8,20,82,3.75,82,0.9,631,11.3,11.5,0.495,10.3,4.189654742026425
473,2006,1,64.1,216,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,539,11.4,11.6,0.483,10.1,4.175924549214524
474,2005,1,62.9,234,18,1.99,62.21817261,0,264,13.9,22,82,5.84,82,1.4,474,11.5,11.6,0.47,10.0,4.157319361383489
475,2004,1,61.5,253,19,1.38,8.38611924,0,352,13.5,24,86,6.43,85,1.7,48,11.6,11.7,0.458,9.7,4.135166556742356
476,2003,1,63.0,268,21,1.44,55.59543946,0,653,13.1,26,69,6.74,69,1.9,362,11.6,11.7,0.445,9.3,4.1588830833596715
477,2002,1,59.3,273,23,1.43,30.91060554,0,1361,12.8,29,54,5.95,54,2.1,339,11.6,11.8,0.427,8.2,4.09933210373314
478,2001,1,58.5,273,25,1.71,27.68971051,0,3761,12.4,33,59,5.7,6,2.2,321,11.6,11.8,0.412,7.6,4.085976312551584
479,2000,1,57.7,274,27,1.51,0.328418056,0,12237,12.1,36,62,5.87,59,2.1,3,11.6,11.9,0.401,7.2,4.072439726834051
480,2015,1,57.3,357,45,0.0,0.0,84,1809,29.0,68,83,0.0,84,3.5,1244,5.6,5.5,0.514,10.4,4.065602093356446
481,2014,1,56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,1441,5.7,5.7,0.507,10.4,4.055257173514054
482,2013,1,56.4,364,48,0.01,63.07890158,89,760,27.8,73,88,4.29,89,4.0,1365,5.8,5.8,0.501,10.4,4.050044303325521
483,2012,1,55.9,369,50,0.01,68.55839112,85,609,27.2,76,85,4.34,85,4.6,1255,5.9,5.9,0.496,10.4,4.041295341132285
484,2011,1,55.6,371,51,6.19,83.18071241,82,504,26.6,79,8,3.96,82,4.9,1295,6.0,6.0,0.486,10.0,4.036008985209137
485,2010,1,55.3,37,53,6.15,100.8987451,84,240,26.0,82,83,5.28,84,5.5,1182,6.1,6.2,0.48,9.7,4.030694535145645
486,2009,1,54.8,373,54,5.89,9.042540892,8,251,25.4,85,79,5.7,8,6.3,123,6.3,6.3,0.473,9.2,4.021773869387265
487,2008,1,54.2,382,56,5.9,68.7073044,84,495,24.9,87,82,5.18,84,6.7,1233,6.4,6.5,0.466,8.8,4.01096295328305
488,2007,1,53.6,395,57,5.44,7.562892922,82,100,24.4,89,81,4.76,82,7.0,111,6.6,6.6,0.456,8.0,4.000033882750859
489,2006,1,53.3,394,58,5.22,0.962497052,81,196,23.8,91,78,4.69,81,7.2,12,6.7,6.8,0.456,8.2,3.9945242269398897
490,2005,1,52.8,4,58,5.03,73.03276195,79,605,23.3,93,79,4.75,8,7.4,952,6.9,7.0,0.456,8.3,3.9852734671677386
491,2004,1,52.1,412,59,4.71,7.177302132,0,358,22.8,94,72,4.73,73,7.5,93,7.0,7.1,0.455,8.2,3.9721769282478934
492,2003,1,51.8,412,60,4.64,67.63925302,0,899,22.3,95,72,4.97,73,7.7,824,7.2,7.3,0.452,8.1,3.966511190712216
493,2002,1,51.6,47,60,4.58,53.70597428,0,1448,21.8,97,66,4.86,66,7.8,676,7.4,7.5,0.452,8.4,3.9627161197436642
494,2001,1,51.5,41,61,4.43,41.73629221,0,23934,21.3,99,61,4.7,63,7.9,614,7.5,7.7,0.437,7.1,3.960813169597578
495,2000,1,51.4,394,62,3.91,4.720593531,0,14629,2.9,100,57,4.48,62,7.7,68,7.7,7.8,0.433,6.9,3.9589065913269965
496,2015,1,82.2,64,2,0.0,0.0,55,195,67.0,2,91,0.0,91,0.1,43315,0.6,0.5,0.919,16.3,4.421247347827163
497,2014,1,82.0,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544,0.5,0.5,0.912,15.9,4.418840607796598
498,2013,1,81.8,67,2,8.2,9733.228019,55,83,65.8,2,91,1.67,91,0.1,52413,0.5,0.5,0.909,15.9,4.416428061391214
499,2012,1,81.6,68,2,8.3,9748.636237,7,10,65.3,2,99,1.78,95,0.1,52496,0.5,0.5,0.907,15.9,4.414009680526933
500,2011,1,81.5,68,2,8.2,971.9280384,7,803,64.7,2,87,1.82,87,0.1,5282,0.5,0.5,0.903,15.9,4.412798293340635
501,2010,1,81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447,0.5,0.4,0.898,15.9,4.409155302062135
502,2009,1,81.0,72,2,8.4,864.94993,42,14,63.6,2,89,11.17,91,0.1,4773,0.5,0.4,0.898,15.9,4.406719247264253
503,2008,1,87.0,74,2,8.3,8433.936814,28,62,63.0,2,89,1.3,92,0.1,46596,0.5,0.4,0.897,15.8,4.477336814478207
504,2007,1,85.0,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,44544,0.5,0.4,0.894,15.8,4.454347296253507
505,2006,1,85.0,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,4386,0.5,0.4,0.891,15.8,4.454347296253507
506,2005,1,81.0,76,2,8.0,6333.177967,14,6,61.3,2,93,9.57,93,0.1,36189,0.5,0.4,0.886,15.8,4.406719247264253
507,2004,1,80.0,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,31979,0.5,0.4,0.881,15.8,4.394449154672439
508,2003,1,79.7,78,2,7.7,4687.845565,14,15,6.0,2,88,9.54,91,0.1,28172,0.5,0.4,0.877,15.8,4.390738575275903
509,2002,1,79.5,79,2,7.7,3895.856308,0,6,59.3,2,88,9.37,88,0.1,24167,0.5,0.4,0.872,15.8,4.388257184424518
510,2001,1,79.4,8,2,7.6,3665.089703,0,34,58.5,2,88,9.1,89,0.1,23691,0.5,0.4,0.867,15.8,4.387014176184921
511,2000,1,79.1,82,2,7.6,3787.49456,0,206,57.8,2,88,8.67,89,0.1,24124,0.5,0.5,0.864,15.9,4.383275854074314
512,2015,1,52.5,397,15,0.0,0.0,47,150,22.7,21,47,0.0,47,4.4,348,8.2,8.2,0.347,7.1,3.979681653901961
513,2014,1,58.0,437,15,0.01,53.43964323,47,210,22.1,22,47,4.2,47,4.5,377,8.4,8.3,0.345,7.1,4.07753744390572
514,2013,1,49.9,451,16,0.01,52.37766601,23,596,21.6,23,23,3.82,23,5.1,337,8.5,8.5,0.37,7.1,3.929862923556477
515,2012,1,53.0,439,16,0.01,7.344808214,47,141,21.2,23,47,3.62,47,5.1,486,8.7,8.6,0.366,7.1,3.9889840465642745
516,2011,1,49.8,443,16,1.66,58.52947463,47,679,2.7,24,47,3.73,47,5.8,494,8.8,8.8,0.361,6.8,3.927896354584436
517,2010,1,49.2,446,17,1.67,43.48359197,45,2,2.2,24,46,3.9,45,6.6,446,9.0,8.9,0.352,6.6,3.9160150266976834
518,2009,1,48.6,453,17,1.56,40.45156933,42,11,19.8,25,45,3.58,42,7.3,449,9.1,9.1,0.345,6.4,3.903990833730882
519,2008,1,47.6,477,17,1.52,67.34137528,0,12,19.4,25,46,4.3,45,8.3,456,9.3,9.2,0.338,6.3,3.883623530906448
520,2007,1,46.8,495,17,1.5,60.04884821,0,49,19.0,26,46,4.4,48,9.0,397,9.4,9.4,0.33,6.2,3.86702563949741
521,2006,1,46.3,56,17,1.54,46.90117916,0,3,18.6,26,47,3.99,51,10.0,347,9.6,9.6,0.323,6.0,3.856510295497887
522,2005,1,45.9,511,17,1.5,40.92207976,0,471,18.2,26,47,4.29,54,11.2,327,9.7,9.7,0.319,5.9,3.8480176754522337
523,2004,1,45.7,512,17,1.5,41.50111735,0,1233,17.9,26,45,4.1,51,12.0,313,9.9,9.9,0.315,5.7,3.8437441646748516
524,2003,1,45.7,51,17,1.49,46.11619441,0,652,17.5,26,44,4.31,47,12.8,286,1.0,1.1,0.316,5.6,3.8437441646748516
525,2002,1,45.6,58,17,1.47,31.5941587,0,938,17.2,25,42,4.16,44,13.4,253,1.2,1.2,0.315,5.4,3.8416005411316
526,2001,1,45.6,54,17,1.52,33.65315697,0,2837,16.8,25,4,3.95,4,13.9,243,1.4,1.4,0.314,5.3,3.8416005411316
527,2000,1,46.0,49,16,1.51,30.78382657,0,3207,16.5,25,38,4.24,37,14.3,243,1.5,1.5,0.312,5.2,3.8501476017100584
528,2015,1,53.1,356,46,0.0,0.0,46,418,19.1,77,52,0.0,46,2.8,777,8.5,8.4,0.394,7.3,3.9908341858524357
529,2014,1,52.6,362,46,0.01,11.3020668,37,1275,18.7,78,44,3.62,37,2.9,125,8.7,8.5,0.39,7.3,3.9815490680767565
530,2013,1,52.2,366,46,0.64,76.52382535,39,226,18.2,78,46,3.42,39,3.1,986,8.8,8.7,0.387,7.3,3.9740583963475986
531,2012,1,51.8,367,46,0.62,57.8242709,4,120,17.9,79,51,3.0,4,3.6,973,9.0,8.9,0.381,7.3,3.966511190712216
532,2011,1,51.6,365,46,0.56,67.76269089,33,8650,17.5,79,4,3.17,33,3.9,989,9.2,9.1,0.37,6.7,3.9627161197436642
533,2010,1,51.2,364,46,0.5,43.57328908,39,194,17.1,80,43,2.95,39,4.1,896,9.4,9.3,0.36,6.7,3.955082494888593
534,2009,1,57.0,37,46,0.47,4.982900401,24,165,16.7,80,32,3.31,24,4.4,84,9.6,9.5,0.343,6.3,4.060443010546419
535,2008,1,49.6,394,46,0.45,49.09198224,17,63,16.4,80,3,2.92,19,4.7,929,9.8,9.7,0.338,6.0,3.92395157629342
536,2007,1,49.4,394,46,0.42,5.962923532,0,441,16.1,80,38,3.35,28,4.9,81,1.0,1.0,0.306,5.7,3.919991175077323
537,2006,1,48.5,414,45,0.41,62.67225971,0,1594,15.7,80,49,3.32,4,5.1,712,1.3,1.2,0.303,5.5,3.901972669574645
538,2005,1,48.6,46,45,0.42,8.936064632,0,2,15.4,79,37,3.91,25,5.2,66,1.5,1.4,0.306,5.6,3.903990833730882
539,2004,1,48.5,45,44,0.34,72.38451279,0,10324,15.1,78,31,5.72,21,5.2,454,1.7,1.6,0.301,5.6,3.901972669574645
540,2003,1,48.4,43,44,0.42,3.979243535,0,15801,14.8,77,36,5.49,23,5.1,292,1.9,1.8,0.284,5.4,3.899950424193877
541,2002,1,48.1,43,43,0.36,3.039691193,0,7277,14.4,76,31,8.33,25,5.0,22,11.1,11.0,0.303,5.1,3.893859034800475
542,2001,1,48.0,4,42,0.3,26.87439074,0,24908,14.1,75,26,6.9,26,4.8,197,11.3,11.2,0.3,4.9,3.8918202981106265
543,2000,1,47.6,44,41,0.25,21.52701616,0,3546,13.9,74,3,6.28,36,4.6,166,11.5,11.4,0.0,4.7,3.883623530906448
544,2015,1,85.0,82,2,0.0,0.0,97,9,63.8,2,96,0.0,96,0.1,13653,0.8,0.8,0.845,16.3,4.454347296253507
545,2014,1,83.0,83,2,7.16,2352.999591,95,0,63.1,2,95,7.79,95,0.1,14817,0.8,0.8,0.841,16.2,4.430816798843313
546,2013,1,81.0,84,2,7.2,2442.222054,9,0,62.5,2,9,7.53,91,0.1,15941,0.8,0.8,0.831,15.6,4.406719247264253
547,2012,1,79.9,84,2,6.76,2260.777642,9,0,61.8,2,9,7.24,9,0.1,15431,0.8,0.8,0.826,15.5,4.393213824064446
548,2011,1,79.8,86,2,7.26,211.614293,94,6,61.2,2,93,7.0,94,0.1,1475,0.8,0.8,0.82,15.4,4.39197696552705
549,2010,1,79.1,89,2,7.93,177.4925143,92,0,6.6,2,92,6.97,92,0.1,1286,0.8,0.9,0.815,15.2,4.383275854074314
550,2009,1,79.3,91,2,7.67,181.525923,94,1,59.9,2,94,7.39,94,0.1,1243,0.8,0.9,0.816,15.3,4.385769620952716
551,2008,1,79.6,88,2,7.31,241.5533381,95,0,59.3,2,95,6.87,95,0.1,1781,0.9,0.9,0.804,15.2,4.389498649512583
552,2007,1,78.9,9,2,7.39,209.4875875,92,0,58.7,2,95,6.35,96,0.1,1526,0.9,0.9,0.797,14.8,4.380775852772229
553,2006,1,78.9,91,2,7.33,1275.689625,95,0,58.1,2,94,6.18,94,0.1,9484,0.9,0.9,0.796,14.9,4.380775852772229
554,2005,1,78.4,93,2,7.57,954.9644887,0,0,57.4,2,92,6.69,91,0.1,7615,0.9,1.0,0.79,14.6,4.37449836825309
555,2004,1,78.0,97,2,6.32,78.78564878,0,0,56.8,2,94,6.93,93,0.1,621,0.9,1.0,0.781,14.3,4.3694478524670215
556,2003,1,77.9,1,2,6.37,584.0993429,0,1,56.1,2,96,7.34,96,0.1,4787,1.0,1.0,0.775,14.0,4.368181227851829
557,2002,1,77.8,11,2,6.06,675.7808443,0,0,55.4,3,97,6.48,97,0.1,4463,1.0,1.0,0.768,13.9,4.366912996863833
558,2001,1,77.3,16,2,6.1,687.5116825,0,0,54.7,3,96,6.51,97,0.1,4595,1.0,1.0,0.761,13.7,4.360547602996758
559,2000,1,77.3,13,2,6.24,74.14842946,0,0,54.0,3,91,6.4,91,0.1,511,1.1,1.1,0.755,13.5,4.360547602996758
560,2015,1,76.1,85,157,0.0,0.0,99,42361,32.9,183,99,0.0,99,0.1,869,3.6,2.9,0.734,13.5,4.345103280569283
561,2014,1,75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,7683,3.7,3.0,0.723,13.1,4.341204640153626
562,2013,1,75.6,88,185,5.79,9.955532032,99,26883,3.9,216,99,5.39,99,0.1,777,3.8,3.2,0.713,12.7,4.338597076746545
563,2012,1,75.4,89,201,5.74,94.4344566,99,6183,3.0,233,99,5.26,99,0.1,6337,3.9,3.3,0.703,12.4,4.335982696172475
564,2011,1,75.2,91,215,5.63,91.26749779,99,9943,29.0,251,99,5.3,99,0.1,5633,4.1,3.5,0.7,12.8,4.333361462692601
565,2010,1,75.0,92,231,5.75,5.660754839,99,38159,28.1,268,99,4.89,99,0.1,456,4.2,3.6,0.691,12.5,4.330733340286331
566,2009,1,74.9,93,248,4.88,50.28348923,99,52461,27.3,288,99,5.8,99,0.1,3838,4.4,3.8,0.682,12.2,4.3294166844015844
567,2008,1,74.5,97,266,4.27,39.22509728,95,131441,26.5,308,99,4.59,97,0.1,3471,4.5,4.0,0.672,11.9,4.324132656254979
568,2007,1,74.4,96,285,3.88,312.6624819,92,109023,25.7,332,94,4.32,93,0.1,2695,4.7,4.1,0.659,11.4,4.32280727501391
569,2006,1,74.2,98,307,3.28,29.74342979,91,99602,24.9,360,94,4.52,93,0.1,299,4.8,4.3,0.646,11.0,4.320151230955794
570,2005,1,73.9,99,332,2.92,171.6596026,84,124219,24.1,392,87,4.66,87,0.1,1753,5.0,4.4,0.634,10.6,4.316153890523174
571,2004,1,73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,158,5.1,4.6,0.622,10.2,4.310799125385514
572,2003,1,73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288,5.3,4.7,0.61,9.9,4.3054155323020415
573,2002,1,72.7,16,422,2.91,106.3590358,7,58341,21.9,511,86,4.79,86,0.1,1148,5.5,4.9,0.6,9.7,4.300002799195291
574,2001,1,72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153,5.7,5.0,0.592,9.6,4.293195420967266
575,2000,1,71.7,115,490,3.06,17.46057369,6,71093,2.5,608,86,4.6,85,0.1,959,5.9,5.1,0.583,9.5,4.286341384539473
576,2015,1,74.8,143,10,0.0,0.0,91,1,57.9,12,91,0.0,91,0.1,644,2.1,1.9,0.724,13.6,4.328098292648326
577,2014,1,74.6,144,11,4.38,1435.487755,9,0,57.2,12,9,7.2,9,0.1,7913,2.1,1.9,0.72,13.6,4.3254562831854875
578,2013,1,74.4,145,11,4.41,15.16255482,91,1,56.4,13,91,6.84,91,0.1,83,2.1,1.9,0.712,13.3,4.32280727501391
579,2012,1,74.3,143,11,4.44,1487.896562,92,1,55.7,13,91,6.93,91,0.1,7884,2.1,1.9,0.707,13.2,4.321480134805848
580,2011,1,74.2,144,12,4.37,184.3073618,85,6,55.0,14,85,6.64,85,0.1,7227,2.2,2.0,0.7,13.0,4.320151230955794
581,2010,1,73.6,15,12,4.28,113.2436346,88,0,54.2,15,88,6.76,88,0.1,625,2.2,2.0,0.695,12.8,4.312140507209715
582,2009,1,73.6,15,13,4.34,941.6464045,92,0,53.5,15,92,7.1,92,0.1,5148,2.2,2.0,0.691,12.4,4.312140507209715
583,2008,1,73.5,146,14,4.45,978.07041,92,0,52.8,16,92,6.62,92,0.1,5433,2.3,2.0,0.683,12.2,4.310799125385514
584,2007,1,73.5,144,14,4.66,780.5946749,93,0,52.0,17,93,6.25,93,0.1,4674,2.3,2.1,0.675,11.9,4.310799125385514
585,2006,1,73.1,147,15,4.53,62.43710774,93,0,51.3,17,94,6.11,93,0.1,379,2.3,2.1,0.669,11.5,4.3054155323020415
586,2005,1,73.1,144,15,4.38,531.9808176,93,0,5.5,18,93,5.82,93,0.1,3386,2.4,2.1,0.658,11.1,4.3054155323020415
587,2004,1,72.8,148,16,4.26,42.17956418,89,0,49.8,19,89,5.37,89,0.1,274,2.4,2.2,0.658,11.3,4.301358731606427
588,2003,1,72.4,15,16,4.25,417.8038898,92,0,49.0,19,92,5.92,92,0.1,2246,2.5,2.2,0.659,11.6,4.29592393562047
589,2002,1,71.8,163,17,4.45,393.8773633,78,139,48.2,20,83,5.67,81,0.1,2355,2.5,2.3,0.656,11.5,4.28771595520264
590,2001,1,71.5,165,17,4.43,404.4205858,8,3,47.5,21,83,5.96,8,0.1,2395,2.5,2.3,0.653,11.4,4.283586561860629
591,2000,1,71.4,167,18,4.66,477.1341814,78,1,46.7,21,82,5.91,79,0.1,2472,2.6,2.3,0.65,11.3,4.282206299391671
592,2015,1,63.5,227,1,0.0,0.0,91,0,24.2,2,92,0.0,91,0.8,727,6.7,6.5,0.498,11.1,4.1666652238017265
593,2014,1,63.2,23,1,0.01,73.86584922,88,0,23.7,2,87,6.75,87,0.8,852,6.8,6.6,0.497,11.1,4.162003210695915
594,2013,1,62.9,233,1,0.01,61.57443584,88,0,23.2,2,85,6.51,87,0.8,834,6.8,6.6,0.49,10.9,4.157319361383489
595,2012,1,62.5,237,2,0.01,78.39008571,89,1,22.6,2,85,7.11,86,0.8,788,6.9,6.7,0.484,10.8,4.151039905898646
596,2011,1,62.2,241,2,0.12,59.6596497,83,3,22.1,2,85,6.1,83,0.2,829,7.0,6.8,0.479,10.6,4.146304301152812
597,2010,1,61.8,246,2,0.15,47.30421873,74,0,21.6,2,82,5.82,74,0.1,769,7.1,6.9,0.476,10.5,4.139955073474153
598,2009,1,61.3,251,2,0.17,56.98952474,83,1,21.1,2,84,3.82,83,0.1,778,7.2,7.0,0.465,10.3,4.131961425793407
599,2008,1,61.0,255,2,0.12,93.36788979,81,0,2.6,2,81,5.13,81,0.1,795,7.2,7.1,0.461,10.2,4.127134385045092
600,2007,1,66.0,259,2,0.16,9.087638194,75,0,2.1,2,75,4.93,75,0.1,72,7.3,7.2,0.459,10.0,4.204692619390966
601,2006,1,63.0,262,2,0.25,77.0283958,69,85,19.6,2,69,4.57,69,0.1,648,7.4,7.3,0.451,9.9,4.1588830833596715
602,2005,1,60.0,266,2,0.24,69.9675435,68,912,19.2,2,67,4.32,68,0.1,621,7.5,7.4,0.434,9.7,4.110873864173311
603,2004,1,59.8,269,2,0.27,7.212110766,77,0,18.8,2,73,3.96,76,0.1,616,7.5,7.5,0.0,9.5,4.107589788972121
604,2003,1,59.6,271,2,0.26,45.09010835,28,0,18.4,2,8,3.65,8,0.1,544,7.6,7.6,0.0,9.2,4.104294893075269
605,2002,1,59.5,271,2,0.08,29.41897495,0,0,18.0,2,98,3.39,89,0.1,433,7.7,7.7,0.0,8.8,4.102643365036796
606,2001,1,59.5,272,1,0.08,19.71741043,0,0,17.6,2,7,2.86,7,0.1,395,7.8,7.8,0.0,8.5,4.102643365036796
607,2000,1,59.5,272,1,0.09,35.02948624,0,0,17.3,2,7,3.56,7,0.1,375,7.9,7.9,0.0,8.2,4.102643365036796
608,2015,1,64.7,267,7,0.0,0.0,8,1359,27.4,10,8,0.0,8,2.8,0,7.5,7.1,0.59,11.1,4.185098925490565
609,2014,1,64.2,275,7,0.01,0.0,9,71,26.8,10,9,5.15,9,3.0,0,7.6,7.3,0.581,11.1,4.177459468932607
610,2013,1,63.9,274,7,0.01,0.0,85,124,26.2,10,85,5.9,85,3.0,0,7.7,7.4,0.576,11.1,4.1728476237100445
611,2012,1,63.7,273,7,0.01,0.0,62,260,25.6,10,61,3.98,85,3.3,0,7.9,7.5,0.557,10.2,4.169761201506855
612,2011,1,62.9,285,7,3.82,0.0,7,315,25.0,10,69,2.79,82,3.5,0,8.0,7.6,0.558,10.7,4.157319361383489
613,2010,1,62.0,298,7,3.53,0.0,74,4,24.5,10,72,2.29,74,3.8,0,8.1,7.7,0.548,10.5,4.143134726391533
614,2009,1,68.0,314,7,3.47,0.0,75,1,23.9,11,76,2.27,78,4.0,0,8.3,7.9,0.545,10.3,4.23410650459726
615,2008,1,59.4,338,8,2.58,0.0,73,2,23.3,11,77,2.9,79,4.3,0,8.4,8.0,0.527,10.0,4.100989104940769
616,2007,1,58.2,354,8,2.75,0.0,64,84,22.8,11,71,2.54,72,5.0,0,8.5,8.2,0.517,9.8,4.0809215418899605
617,2006,1,56.9,368,8,2.25,0.0,0,126,22.3,12,73,2.37,73,5.5,0,8.7,8.3,0.507,9.6,4.05871738457895
618,2005,1,55.3,394,8,2.03,0.0,0,146,21.7,13,62,2.42,62,5.9,0,8.8,8.5,0.496,9.4,4.030694535145645
619,2004,1,54.1,48,9,2.58,0.0,0,3524,21.2,13,67,2.56,67,6.3,0,9.0,8.6,0.497,9.2,4.009149716158869
620,2003,1,53.2,417,9,2.45,0.0,0,3712,2.7,14,5,2.61,5,6.8,0,9.1,8.8,0.492,9.4,3.9926809084456005
621,2002,1,52.6,424,9,2.55,0.0,0,2788,2.3,14,41,2.45,41,7.2,0,9.3,8.9,0.488,9.5,3.9815490680767565
622,2001,1,52.7,419,9,2.3,0.0,0,2152,19.8,14,32,2.44,31,7.6,0,9.4,9.0,0.487,9.7,3.983413001514819
623,2000,1,52.9,416,9,2.26,0.0,0,1678,19.3,14,31,2.13,33,7.8,0,9.5,9.2,0.487,9.8,3.9871304779149512
624,2013,1,0.0,0,0,0.01,0.0,98,0,82.8,0,98,3.58,98,0.1,0,0.1,0.1,0.0,0.0,0.0
625,2015,1,79.6,95,1,0.0,0.0,92,0,6.5,1,92,0.0,92,0.1,1146,1.7,1.7,0.775,14.2,4.389498649512583
626,2014,1,79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1647,1.7,1.7,0.768,13.9,4.388257184424518
627,2013,1,79.4,96,1,3.42,386.1379123,94,0,58.5,1,95,9.47,95,0.1,1569,1.7,1.7,0.762,13.7,4.387014176184921
628,2012,1,79.2,97,1,3.34,2568.237059,91,0,57.5,1,9,9.56,91,0.1,9985,1.8,1.7,0.758,13.6,4.384523514872469
629,2011,1,79.0,98,1,3.41,2429.854745,84,0,56.5,1,82,9.73,85,0.1,9186,1.8,1.7,0.752,13.4,4.382026634673881
630,2010,1,78.1,16,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,8199,1.8,1.8,0.749,13.3,4.370712874773608
631,2009,1,79.2,96,1,4.07,24.88720369,87,0,54.4,1,8,9.69,86,0.1,689,1.9,1.8,0.747,13.1,4.384523514872469
632,2008,1,78.9,99,1,4.22,1859.095621,89,0,53.4,1,89,9.1,9,0.1,6911,1.9,1.8,0.74,12.9,4.380775852772229
633,2007,1,78.9,93,1,4.2,150.8891479,89,0,52.4,1,89,8.37,89,0.1,612,1.9,1.9,0.734,12.8,4.380775852772229
